ODKAZ;KLUCOVE SLOVO;TOP;SCORE_2018/19;SCORE_2020/21;SCORE_2022/23
https://www.americandairy.com/health-wellness/benefits-of-dairy/diabetes-and-dairy/;diabetes dairy;what is diabetes;68.41904761904762;undefined;undefined
https://www.americandairy.com/health-wellness/benefits-of-dairy/diabetes-and-dairy/;diabetes dairy;dairy milk;39.180952380952384;39.68571428571428;44.03773585
https://www.americandairy.com/health-wellness/benefits-of-dairy/diabetes-and-dairy/;diabetes dairy;dairy products;undefined;undefined;85.4245283
https://www.americandairy.com/health-wellness/benefits-of-dairy/diabetes-and-dairy/;prevention diabetes;prevention of diabetes;67.1047619;67.81904761904762;60.33018867924528
https://www.americandairy.com/health-wellness/benefits-of-dairy/diabetes-and-dairy/;prevention diabetes;prevention for diabetes;59.55238095238095;49.25714285714286;64.37735849056604
https://www.americandairy.com/health-wellness/benefits-of-dairy/diabetes-and-dairy/;prevention diabetes;diabetes prevention program;67.47619047619048;42.142857142857146;63.905660377358494
https://www.americandairy.com/health-wellness/benefits-of-dairy/diabetes-and-dairy/;diabetes managing;managing diabetes type 2;3.5238095238095237;5.247619047619048;13.056603773584905
https://www.americandairy.com/health-wellness/benefits-of-dairy/diabetes-and-dairy/;diabetes managing;diabetes type 2;82.57142857142857;81.27619047619048;79.20754716981132
https://www.americandairy.com/health-wellness/benefits-of-dairy/diabetes-and-dairy/;diabetes managing;what is diabetes;68.41904761904762;undefined;undefined
https://www.sciencedaily.com/releases/2017/09/170905134506.htm;meat diabetes;diabetes and meat;22.61904761904762;44.46666666666667;29.858490566037737
https://www.sciencedaily.com/releases/2017/09/170905134506.htm;meat diabetes;diabetes red meat;7.3238095238095235;11.4;11.19811320754717
https://www.sciencedaily.com/releases/2017/09/170905134506.htm;meat diabetes;red meat;54.733333333333334;64.48571428571428;79.79245283018868
https://www.sciencedaily.com/releases/2017/09/170905134506.htm;diabetes meats;what is diabetes;68.41904761904762;undefined;undefined
https://www.sciencedaily.com/releases/2017/09/170905134506.htm;diabetes meats;type 2 diabetes;82.57142857142857;81.27619047619048;79.20754716981132
https://www.sciencedaily.com/releases/2017/09/170905134506.htm;diabetes meats;meats for diabetics;1.723809523809524;3.9714285714285715;7.745283018867925
https://www.sciencedaily.com/releases/2017/09/170905134506.htm;meat diet;the meat diet;62.53333333333333;62.48571428571429;75.66037735849056
https://www.sciencedaily.com/releases/2017/09/170905134506.htm;meat diet;red meat;54.733333333333334;64.48571428571428;79.79245283018868
https://www.sciencedaily.com/releases/2017/09/170905134506.htm;meat diet;red meat diet;64.64761904761905;61.04761904761905;61.113207547169814
https://www.everydayhealth.com/type-2-diabetes/diet/guide-eating-dairy-with-diabetes/#:~:text=The%20Best%20Dairy%20Choices%20to%20Make%20When%20You,2%20String%20Cheese%20...%203%20Grass-Fed%20Dairy%20;dairy diabetes;what is diabetes;68.41904761904762;undefined;undefined
https://www.everydayhealth.com/type-2-diabetes/diet/guide-eating-dairy-with-diabetes/#:~:text=The%20Best%20Dairy%20Choices%20to%20Make%20When%20You,2%20String%20Cheese%20...%203%20Grass-Fed%20Dairy%20;dairy diabetes;dairy milk;39.180952380952384;39.68571428571428;44.03773585
https://www.everydayhealth.com/type-2-diabetes/diet/guide-eating-dairy-with-diabetes/#:~:text=The%20Best%20Dairy%20Choices%20to%20Make%20When%20You,2%20String%20Cheese%20...%203%20Grass-Fed%20Dairy%20;dairy diabetes;dairy products;undefined;undefined;85.4245283
https://www.everydayhealth.com/type-2-diabetes/diet/guide-eating-dairy-with-diabetes/#:~:text=The%20Best%20Dairy%20Choices%20to%20Make%20When%20You,2%20String%20Cheese%20...%203%20Grass-Fed%20Dairy%20;dairy recommendations;vegetables;88.53333333333333;65.27619047619048;88.44339622641509
https://www.everydayhealth.com/type-2-diabetes/diet/guide-eating-dairy-with-diabetes/#:~:text=The%20Best%20Dairy%20Choices%20to%20Make%20When%20You,2%20String%20Cheese%20...%203%20Grass-Fed%20Dairy%20;dairy recommendations;grains;84.40952381;75.04761904761905;84.32075471698113
https://www.everydayhealth.com/type-2-diabetes/diet/guide-eating-dairy-with-diabetes/#:~:text=The%20Best%20Dairy%20Choices%20to%20Make%20When%20You,2%20String%20Cheese%20...%203%20Grass-Fed%20Dairy%20;dairy recommendations;myplate recommendations;3.2666666666666666;6.523809523809524;16.78301886792453
https://www.everydayhealth.com/type-2-diabetes/diet/guide-eating-dairy-with-diabetes/#:~:text=The%20Best%20Dairy%20Choices%20to%20Make%20When%20You,2%20String%20Cheese%20...%203%20Grass-Fed%20Dairy%20;diabetes dairy;what is diabetes;68.41904761904762;undefined;undefined
https://www.everydayhealth.com/type-2-diabetes/diet/guide-eating-dairy-with-diabetes/#:~:text=The%20Best%20Dairy%20Choices%20to%20Make%20When%20You,2%20String%20Cheese%20...%203%20Grass-Fed%20Dairy%20;diabetes dairy;dairy milk;39.180952380952384;39.68571428571428;44.03773585
https://www.everydayhealth.com/type-2-diabetes/diet/guide-eating-dairy-with-diabetes/#:~:text=The%20Best%20Dairy%20Choices%20to%20Make%20When%20You,2%20String%20Cheese%20...%203%20Grass-Fed%20Dairy%20;diabetes dairy;dairy products;undefined;undefined;85.4245283
https://type2diabetesrevolution.com/effects-plant-based-diets-blood-sugar-type-2-diabetes/;diabetes diets;diets for diabetes;36.8;30.428571428571427;45.89622641509434
https://type2diabetesrevolution.com/effects-plant-based-diets-blood-sugar-type-2-diabetes/;diabetes diets;diabetes diet;78.4;81.28571428571429;82.14150943396227
https://type2diabetesrevolution.com/effects-plant-based-diets-blood-sugar-type-2-diabetes/;diabetes diets;diet;73.13333333333334;64.6;80.90566037735849
https://www.sciencemediacentre.org/expert-reaction-to-study-on-the-vegetarian-diet-and-diabetes-risk/;diet linked;carbohydrates;59.666666666666664;54.628571428571426;70.48113207547169
https://www.sciencemediacentre.org/expert-reaction-to-study-on-the-vegetarian-diet-and-diabetes-risk/;diet linked;keto diet;52.095238095238095;40.97142857142857;52.87735849056604
https://www.sciencemediacentre.org/expert-reaction-to-study-on-the-vegetarian-diet-and-diabetes-risk/;diet linked;hypertension;84.84761904761905;79.63809523809523;85.66037735849056
https://www.sciencemediacentre.org/expert-reaction-to-study-on-the-vegetarian-diet-and-diabetes-risk/;diet health;diet and health;74.95238095238095;67.73333333333333;78.77358490566037
https://www.sciencemediacentre.org/expert-reaction-to-study-on-the-vegetarian-diet-and-diabetes-risk/;diet health;what is diet;63.819047619047616;72.95238095238095;81.89622641509433
https://www.sciencemediacentre.org/expert-reaction-to-study-on-the-vegetarian-diet-and-diabetes-risk/;diet health;what is health;78.15238095238095;71.13333333333334;77.79245283018868
https://www.cancer.org.au/cancer-information/causes-and-prevention/diet-and-exercise/food-and-nutrition/dairy-products;consume dairy;what is dairy;82.65714285714286;77.31428571428572;79.02830188679245
https://www.cancer.org.au/cancer-information/causes-and-prevention/diet-and-exercise/food-and-nutrition/dairy-products;consume dairy;dairy products;undefined;undefined;85.4245283
https://www.cancer.org.au/cancer-information/causes-and-prevention/diet-and-exercise/food-and-nutrition/dairy-products;consume dairy;dairy foods;77.00952380952381;76.26666666666667;81.83018867924528
https://www.cancer.org.au/cancer-information/causes-and-prevention/diet-and-exercise/food-and-nutrition/dairy-products;dairy cancer;dairy and cancer;30.523809523809526;19.561904761904763;undefined
https://www.cancer.org.au/cancer-information/causes-and-prevention/diet-and-exercise/food-and-nutrition/dairy-products;dairy cancer;breast cancer dairy;undefined;undefined;undefined
https://www.cancer.org.au/cancer-information/causes-and-prevention/diet-and-exercise/food-and-nutrition/dairy-products;dairy cancer;breast cancer;undefined;undefined;undefined
https://www.cancer.org.au/cancer-information/causes-and-prevention/diet-and-exercise/food-and-nutrition/dairy-products;dairy foods;dairy free foods;undefined;undefined;undefined
https://www.cancer.org.au/cancer-information/causes-and-prevention/diet-and-exercise/food-and-nutrition/dairy-products;dairy foods;dairy free;undefined;undefined;undefined
https://www.cancer.org.au/cancer-information/causes-and-prevention/diet-and-exercise/food-and-nutrition/dairy-products;dairy foods;dairy food;undefined;undefined;undefined
https://www.pcrm.org/news/news-releases/dairy-consumption-linked-prostate-ovarian-breast-cancers-finds-new-narrative;risk dairy;dairy products;undefined;undefined;85.4245283
https://www.pcrm.org/news/news-releases/dairy-consumption-linked-prostate-ovarian-breast-cancers-finds-new-narrative;risk dairy;high risk food;undefined;undefined;undefined
https://www.pcrm.org/news/news-releases/dairy-consumption-linked-prostate-ovarian-breast-cancers-finds-new-narrative;risk dairy;high risk foods;undefined;undefined;undefined
https://www.pcrm.org/news/news-releases/dairy-consumption-linked-prostate-ovarian-breast-cancers-finds-new-narrative;dairy consumption;milk consumption;undefined;undefined;undefined
https://www.pcrm.org/news/news-releases/dairy-consumption-linked-prostate-ovarian-breast-cancers-finds-new-narrative;dairy consumption;dairy milk;39.180952380952384;39.68571428571428;44.03773585
https://www.pcrm.org/news/news-releases/dairy-consumption-linked-prostate-ovarian-breast-cancers-finds-new-narrative;dairy consumption;milk;undefined;undefined;undefined
https://www.pcrm.org/news/news-releases/dairy-consumption-linked-prostate-ovarian-breast-cancers-finds-new-narrative;consuming dairy;dairy products;undefined;undefined;85.4245283
https://www.pcrm.org/news/news-releases/dairy-consumption-linked-prostate-ovarian-breast-cancers-finds-new-narrative;consuming dairy;lactose intolerance;undefined;undefined;undefined
https://www.pcrm.org/news/news-releases/dairy-consumption-linked-prostate-ovarian-breast-cancers-finds-new-narrative;consuming dairy;osteoporosis;undefined;undefined;undefined
https://www.wcrf.org/diet-activity-and-cancer/risk-factors/wholegrains-vegetables-fruit-and-cancer-risk/;cancer foods;foods for cancer;undefined;undefined;undefined
https://www.wcrf.org/diet-activity-and-cancer/risk-factors/wholegrains-vegetables-fruit-and-cancer-risk/;cancer foods;what is cancer;undefined;undefined;undefined
https://www.wcrf.org/diet-activity-and-cancer/risk-factors/wholegrains-vegetables-fruit-and-cancer-risk/;cancer foods;cancer foods to eat;undefined;undefined;undefined
;undefined;undefined;undefined;undefined;undefined
